airline_name,aircraft_type,in_service,parked,total_current,future,historic,total_all_time,avg_age_numeric
Gulf Air,Boeing 737,0,0,0,0,14,14,
Gulf Air,Boeing 747,0,0,0,0,2,2,
Gulf Air,Boeing 757,0,0,0,0,1,1,
Gulf Air,Boeing 767,0,0,0,0,22,22,
Gulf Air,Boeing 777,0,0,0,0,4,4,
Gulf Air,Boeing 787 Dreamliner,8,3,11,1,0,12,6.8
Gulf Air,Embraer ERJ-170,0,0,0,0,2,2,
Gulf Air,Embraer ERJ-190,0,0,0,0,2,2,
Gulf Air,Handley Page Herald,0,0,0,0,2,2,
Gulf Air,Lockheed L-1011 TriStar,0,0,0,0,13,13,
Air Astana,Airbus A319,0,0,0,0,1,1,
Air Astana,Airbus A320,10,1,11,0,14,25,4.4
Air Astana,Airbus A321,19,1,20,1,2,23,6.2
Air Astana,Boeing 737,0,0,0,0,4,4,
Air Astana,Boeing 757,0,0,0,0,5,5,
Air Astana,Boeing 767,3,0,3,0,2,5,12.2
Air Astana,Boeing 787 Dreamliner,0,0,0,1,0,1,
Air Astana,Embraer E2,0,0,0,0,5,5,
Air Astana,Embraer ERJ-190,0,0,0,0,9,9,
Air Astana,Fokker 50 / 60,0,0,0,0,6,6,
China Airlines,Airbus A300,0,0,0,0,20,20,
China Airlines,Airbus A320,0,0,0,0,2,2,
China Airlines,Airbus A321,17,4,21,2,0,23,2.4
China Airlines,Airbus A330,13,0,13,0,13,26,17.7
China Airlines,Airbus A340,0,0,0,0,7,7,
China Airlines,Airbus A350 XWB,14,1,15,1,0,16,8.5
China Airlines,Boeing 737,7,0,7,0,35,42,10.5
China Airlines,Boeing 747,8,0,8,0,52,60,20.5
China Airlines,Boeing 767,0,0,0,0,2,2,
China Airlines,Boeing 777,20,0,20,0,0,20,7.0
China Airlines,Boeing 787 Dreamliner,0,0,0,5,0,5,
China Airlines,McDonnell Douglas MD-11,0,0,0,0,5,5,
Ethiopian Airlines,ATR 42 / 72,0,0,0,0,3,3,
Ethiopian Airlines,Airbus A350 XWB,26,0,26,0,0,26,5.6
Ethiopian Airlines,Boeing 720,0,0,0,0,6,6,
Ethiopian Airlines,Boeing 737,38,1,39,0,30,69,9.1
Ethiopian Airlines,Boeing 747,0,0,0,0,1,1,
Ethiopian Airlines,Boeing 757,0,0,0,0,12,12,
Ethiopian Airlines,Boeing 767,2,2,4,0,16,20,12.7
Ethiopian Airlines,Boeing 777,22,1,23,0,1,24,10.1
Ethiopian Airlines,Boeing 787 Dreamliner,27,3,30,0,0,30,9.7
Ethiopian Airlines,De Havilland Canada DHC-6 Twin Otter,0,0,0,1,7,8,
Ethiopian Airlines,De Havilland Canada DHC-8 Dash 8,28,1,29,0,5,34,10.0
Ethiopian Airlines,Fokker 50 / 60,0,0,0,0,5,5,
Ethiopian Airlines,McDonnell Douglas MD-11,0,0,0,0,3,3,
IndiGo,ATR 42 / 72,43,1,44,0,6,50,5.3
IndiGo,Airbus A320,167,35,202,6,199,407,6.1
IndiGo,Airbus A321,154,16,170,25,12,207,2.8
IndiGo,Boeing 737,5,0,5,0,14,19,11.5
IndiGo,Boeing 777,2,0,2,0,0,2,17.9
IndiGo,Boeing 787 Dreamliner,6,0,6,0,0,6,7.8
Eurowings,ATR 42 / 72,0,0,0,0,45,45,
Eurowings,Airbus A319,22,1,23,0,29,52,17.3
Eurowings,Airbus A320,33,3,36,0,67,103,12.2
Eurowings,Airbus A321,11,0,11,0,5,16,8.6
Eurowings,Airbus A330,0,0,0,0,12,12,
Eurowings,Airbus A340,0,0,0,0,2,2,
Eurowings,Boeing 737,0,0,0,0,20,20,
Eurowings,Boeing 767,0,0,0,0,1,1,
Eurowings,Bombardier CRJ-100 Series,0,0,0,0,23,23,
Eurowings,Bombardier CRJ-700,0,0,0,0,2,2,
Eurowings,Bombardier CRJ-900,0,0,0,0,23,23,
Eurowings,British Aerospace BAe 146 / Avro RJ,0,0,0,0,19,19,
Eurowings,De Havilland Canada DHC-8 Dash 8,0,0,0,0,20,20,
Eurowings,Dornier Do-328,0,0,0,0,1,1,
Asiana Airlines,Airbus A320,0,0,0,0,11,11,
Asiana Airlines,Airbus A321,24,0,24,0,29,53,6.8
Asiana Airlines,Airbus A330,12,2,14,0,1,15,16.2
Asiana Airlines,Airbus A350 XWB,14,1,15,0,0,15,6.7
Asiana Airlines,Airbus A380,6,0,6,0,0,6,11.0
Asiana Airlines,Boeing 737,0,0,0,0,34,34,
Asiana Airlines,Boeing 747,0,0,0,0,20,20,
Asiana Airlines,Boeing 767,0,0,0,0,19,19,
Asiana Airlines,Boeing 777,8,1,9,0,4,13,18.1
Vueling,Airbus A319,6,0,6,0,5,11,18.9
Vueling,Airbus A320,91,20,111,2,81,194,12.5
Vueling,Airbus A321,19,3,22,0,0,22,8.7
LATAM Airlines,Airbus A319,36,3,39,0,11,50,17.7
LATAM Airlines,Airbus A320,166,20,186,11,44,241,12.0
LATAM Airlines,Airbus A321,64,2,66,17,0,83,9.2
LATAM Airlines,Airbus A350 XWB,0,0,0,0,13,13,
LATAM Airlines,Boeing 767,27,2,29,0,20,49,18.0
LATAM Airlines,Boeing 777,9,1,10,0,5,15,14.9
LATAM Airlines,Boeing 787 Dreamliner,35,3,38,3,0,41,9.5
LATAM Airlines,Embraer E2,0,0,0,1,0,1,
Porter Airlines,De Havilland Canada DHC-8 Dash 8,28,1,29,0,0,29,16.0
Porter Airlines,Embraer E2,51,1,52,1,0,53,2.0
Volotea,Airbus A319,13,3,16,0,4,20,21.1
Volotea,Airbus A320,22,2,24,3,7,34,17.3
Volotea,Boeing 717,0,0,0,0,19,19,
Volotea,Boeing 737,0,0,0,0,2,2,
Garuda Indonesia,ATR 42 / 72,0,0,0,0,18,18,
Garuda Indonesia,Airbus A300,0,0,0,0,22,22,
Garuda Indonesia,Airbus A330,10,14,24,0,41,65,14.2
Garuda Indonesia,Airbus A340,0,0,0,0,5,5,
Garuda Indonesia,Boeing 720,0,0,0,0,2,2,
Garuda Indonesia,Boeing 737,42,4,46,1,111,158,13.4
Garuda Indonesia,Boeing 747,0,0,0,0,70,70,
Garuda Indonesia,Boeing 767,0,0,0,0,19,19,
Garuda Indonesia,Boeing 777,6,2,8,0,8,16,11.3
Garuda Indonesia,Bombardier CRJ-1000,0,0,0,0,18,18,
Garuda Indonesia,Convair 990,0,0,0,0,3,3,
Garuda Indonesia,Douglas DC-8,0,0,0,0,11,11,
Garuda Indonesia,Lockheed L-1011 TriStar,0,0,0,0,2,2,
Garuda Indonesia,Lockheed L-188 Electra,0,0,0,0,3,3,
Garuda Indonesia,McDonnell Douglas DC-9,0,0,0,0,25,25,
Garuda Indonesia,McDonnell Douglas DC-10,0,0,0,0,26,26,
Garuda Indonesia,McDonnell Douglas MD-11,0,0,0,0,18,18,
Aegean Airlines,ATR 42 / 72,0,0,0,0,5,5,
Aegean Airlines,Airbus A319,0,0,0,0,4,4,
Aegean Airlines,Airbus A320,30,17,47,0,15,62,10.1
Aegean Airlines,Airbus A321,16,4,20,7,8,35,5.4
Aegean Airlines,Boeing 737,0,0,0,0,17,17,
Aegean Airlines,British Aerospace BAe 146 / Avro RJ,0,0,0,0,6,6,
Oman Air,ATR 42 / 72,0,0,0,0,4,4,
Oman Air,Airbus A310,0,0,0,0,6,6,
Oman Air,Airbus A320,0,0,0,0,5,5,
Oman Air,Airbus A330,0,0,0,0,13,13,
Oman Air,Boeing 737,22,2,24,0,42,66,6.5
Oman Air,Boeing 757,0,0,0,0,1,1,
Oman Air,Boeing 767,0,0,0,0,1,1,
Oman Air,Boeing 787 Dreamliner,11,1,12,0,2,14,7.4
Oman Air,De Havilland Canada DHC-6 Twin Otter,0,0,0,0,1,1,
Oman Air,Embraer ERJ-170,0,0,0,0,4,4,
Transavia France,Airbus A320,22,1,23,6,4,33,1.2
Transavia France,Boeing 737,62,5,67,0,7,74,12.5
AZAL Azerbaijan Airlines,ATR 42 / 72,0,0,0,0,6,6,
AZAL Azerbaijan Airlines,Airbus A319,4,0,4,0,0,4,20.4
AZAL Azerbaijan Airlines,Airbus A320,13,4,17,3,5,25,12.7
AZAL Azerbaijan Airlines,Airbus A321,0,0,0,2,0,2,
AZAL Azerbaijan Airlines,Airbus A340,1,0,1,0,2,3,19.2
AZAL Azerbaijan Airlines,Boeing 757,0,0,0,0,4,4,
AZAL Azerbaijan Airlines,Boeing 767,2,1,3,0,0,3,14.8
AZAL Azerbaijan Airlines,Boeing 777,1,0,1,0,0,1,6.2
AZAL Azerbaijan Airlines,Boeing 787 Dreamliner,2,0,2,1,0,3,11.3
AZAL Azerbaijan Airlines,Canadair CL-44,0,0,0,0,1,1,
AZAL Azerbaijan Airlines,Embraer ERJ-170,0,0,0,0,1,1,
AZAL Azerbaijan Airlines,Embraer ERJ-190,7,0,7,0,1,8,10.0
