airline_name,ticker,period_end,cost_of_revenue,ebitda,net_income,operating_expense,operating_income,total_revenue
IndiGo,INDIGO.NS,2024-03-31,539730000000.0,186439000000.0,81725000000.0,26952000000.0,107186000000.0,673868000000.0
IndiGo,INDIGO.NS,2025-03-31,643599000000.0,213536000000.0,72584000000.0,21679000000.0,110908000000.0,776186000000.0
Japan Airlines,9201.T,2022-03-31,569965000000.0,-58727000000.0,-177552000000.0,347514000000.0,-234767000000.0,682712000000.0
Japan Airlines,9201.T,2023-03-31,773862000000.0,224835000000.0,34423000000.0,536666000000.0,65060000000.0,1375588000000.0
Japan Airlines,9201.T,2024-03-31,840845000000.0,304472000000.0,95534000000.0,670112000000.0,140932000000.0,1651889000000.0
Japan Airlines,9201.T,2025-03-31,899392000000.0,174241000000.0,107038000000.0,776097000000.0,168606000000.0,1844095000000.0
KLM Royal Dutch Airlines,AF.PA,2021-12-31,12766000000.0,-379000000.0,-3292000000.0,3190000000.0,-1641000000.0,14315000000.0
KLM Royal Dutch Airlines,AF.PA,2022-12-31,21024000000.0,3723000000.0,728000000.0,4335000000.0,1034000000.0,26393000000.0
KLM Royal Dutch Airlines,AF.PA,2023-12-31,23021000000.0,4620000000.0,934000000.0,5368000000.0,1630000000.0,30019000000.0
KLM Royal Dutch Airlines,AF.PA,2024-12-31,24253000000.0,4261000000.0,317000000.0,5641000000.0,1565000000.0,31459000000.0
Korean Air,003490.KS,2021-12-31,6912047063940.0,2929412243770.0,577683539990.0,686808944000.0,1417968632360.0,9016824640300.0
Korean Air,003490.KS,2022-12-31,10245440430530.0,4612821074790.0,1728363138480.0,1020067635000.0,2830586753610.0,14096094819140.0
Korean Air,003490.KS,2023-12-31,12850301876900.0,3830001442210.0,1061165289460.0,1471004038000.0,1790490191240.0,16111796106140.0
Korean Air,003490.KS,2024-12-31,14112550106900.0,4146364405390.0,1317261688930.0,1647968311000.0,2110200077900.0,17870718495800.0
LATAM Airlines,LTM.SN,2021-12-31,4963485000.0,-3336188000.0,-4647491000.0,1002659000.0,-1082129000.0,4884015000.0
LATAM Airlines,LTM.SN,2022-12-31,8103483000.0,2257877000.0,1339210000.0,1398481000.0,-139443000.0,9362521000.0
LATAM Airlines,LTM.SN,2023-12-31,8816590000.0,1279379000.0,581831000.0,1654743000.0,1169208000.0,11640541000.0
LATAM Airlines,LTM.SN,2024-12-31,9565899000.0,1814788000.0,976972000.0,1689873000.0,1577271000.0,12833043000.0
Lufthansa,LHA.DE,2021-12-31,17281000000.0,92000000.0,-2191000000.0,1765000000.0,-2235000000.0,16811000000.0
Lufthansa,LHA.DE,2022-12-31,26833000000.0,4170000000.0,791000000.0,2780000000.0,1282000000.0,30895000000.0
Lufthansa,LHA.DE,2023-12-31,30201000000.0,5334000000.0,1673000000.0,2976000000.0,2265000000.0,35442000000.0
Lufthansa,LHA.DE,2024-12-31,32755000000.0,4660000000.0,1380000000.0,3338000000.0,1488000000.0,37581000000.0
Qantas Airways,QAN.AX,2022-06-30,4176000000.0,928000000.0,-860000000.0,6348000000.0,-1824000000.0,8700000000.0
Qantas Airways,QAN.AX,2023-06-30,8551000000.0,4524000000.0,1746000000.0,8530000000.0,2440000000.0,19521000000.0
Qantas Airways,QAN.AX,2024-06-30,10157000000.0,3898000000.0,1255000000.0,9586000000.0,1873000000.0,21616000000.0
Qantas Airways,QAN.AX,2025-06-30,10648000000.0,4536000000.0,1605000000.0,10720000000.0,2041000000.0,23409000000.0
STARLUX Airlines,2646.TW,2021-12-31,2532204000.0,-1710689000.0,-3018725000.0,1450287000.0,-3186634000.0,795857000.0
STARLUX Airlines,2646.TW,2022-12-31,6576242000.0,-3566039000.0,-5270893000.0,1889905000.0,-5104012000.0,3362135000.0
STARLUX Airlines,2646.TW,2023-12-31,18550979000.0,5319373000.0,149196000.0,3441651000.0,479498000.0,22472128000.0
STARLUX Airlines,2646.TW,2024-12-31,28355417000.0,7933815000.0,1324438000.0,4821146000.0,2370288000.0,35546851000.0
Singapore Airlines,C6L.SI,2022-03-31,6589100000.0,1289900000.0,-962000000.0,1762300000.0,-736600000.0,7614800000.0
Singapore Airlines,C6L.SI,2023-03-31,11995300000.0,5106000000.0,2156800000.0,3155900000.0,2623600000.0,17774800000.0
Singapore Airlines,C6L.SI,2024-03-31,13049400000.0,5617700000.0,2674800000.0,3236800000.0,2726500000.0,19012700000.0
Singapore Airlines,C6L.SI,2025-03-31,13953200000.0,5711900000.0,2778000000.0,3862200000.0,1724400000.0,19539800000.0
Turkish Airlines,THYAO.IS,2021-12-31,5656403894.590429,2084583286.342619,617495582.872824,570730423.668283,1094244577.271531,7321378895.530243
Turkish Airlines,THYAO.IS,2022-12-31,12601279774.006462,4771063838.894001,2537558584.972286,1288762385.77268,2758201896.120016,16648244055.899158
Turkish Airlines,THYAO.IS,2023-12-31,16060000000.0,6250000000.0,6021000000.0,1940000000.0,2942000000.0,20942000000.0
Turkish Airlines,THYAO.IS,2024-12-31,18347000000.0,6503000000.0,3425000000.0,1862000000.0,2460000000.0,22669000000.0
Vueling,IAG.L,2021-12-31,9480000000.0,-823000000.0,-2933000000.0,1754000000.0,-2779000000.0,8455000000.0
Vueling,IAG.L,2022-12-31,18969000000.0,3501000000.0,431000000.0,2700000000.0,1397000000.0,23066000000.0
Vueling,IAG.L,2023-12-31,22756000000.0,6214000000.0,2655000000.0,3166000000.0,3531000000.0,29453000000.0
Vueling,IAG.L,2024-12-31,24521000000.0,6829000000.0,2732000000.0,3278000000.0,4301000000.0,32100000000.0
