date,ticker,adj_close,daily_return,rolling_volatility_30d
2015-01-02,BZ=F,56.41999816894531,-5.866709794428237,3.0126970837907154
2015-01-05,BZ=F,53.11000061035156,-5.866709794428237,3.0126970837907154
2015-01-06,BZ=F,51.09999847412109,-3.784601982924296,3.0126970837907154
2015-01-07,BZ=F,51.150001525878906,0.0978533331720932,3.0126970837907154
2015-01-08,BZ=F,50.959999084472656,-0.3714612624402758,3.0126970837907154
2015-01-09,BZ=F,50.11000061035156,-1.6679719179588548,3.0126970837907154
2015-01-12,BZ=F,47.43000030517578,-5.348234429320986,3.0126970837907154
2015-01-13,BZ=F,46.59000015258789,-1.7710313033589165,3.0126970837907154
2015-01-14,BZ=F,48.68999862670898,4.507401732653671,3.0126970837907154
2015-01-15,BZ=F,47.66999816894531,-2.094887012800506,3.0126970837907154
2015-01-16,BZ=F,47.68999862670898,0.0419560699221888,3.0126970837907154
2015-01-20,BZ=F,47.9900016784668,0.6290691138535642,2.937842377519999
2015-01-21,BZ=F,49.02999877929688,2.167112032623097,2.9864759188017698
2015-01-22,BZ=F,48.52000045776367,-1.0401760845006436,2.8594226009250794
2015-01-23,BZ=F,48.790000915527344,0.5564724963238676,2.7833492374359547
2015-01-26,BZ=F,48.15999984741211,-1.291250371579189,2.683184972902289
2015-01-27,BZ=F,49.59999847412109,2.9900303805469486,2.7789234294809755
2015-01-28,BZ=F,48.470001220703125,-2.2782203390742994,2.7155826561533605
2015-01-29,BZ=F,49.130001068115234,1.361666661419858,2.685782943282069
2015-01-30,BZ=F,52.9900016784668,7.856707768029447,3.270236378269406
2015-02-02,BZ=F,54.75,3.3213781199942893,3.283263084609469
2015-02-03,BZ=F,57.90999984741211,5.771689219017562,3.4470498466454
2015-02-04,BZ=F,54.15999984741211,-6.475565549785756,3.6510287910150216
2015-02-05,BZ=F,56.56999969482422,4.44977816507004,3.69228029545359
2015-02-06,BZ=F,57.79999923706055,2.174296533271613,3.636420036969897
2015-02-09,BZ=F,58.34000015258789,0.9342576516525368,3.5631872072585558
2015-02-10,BZ=F,56.43000030517578,-3.273911282853137,3.556854489670603
2015-02-11,BZ=F,54.65999984741211,-3.13663024666212,3.54166830160458
2015-02-12,BZ=F,57.04999923706055,4.372483344896305,3.574855590990139
2015-02-13,BZ=F,57.38999938964844,0.5959687241626099,3.511640967022359
